information,algorithm_period_return,max_drawdown,sortino,period_label,algo_volatility,trading_days,benchmark_volatility,beta,excess_return,treasury_period_return,sharpe,alpha,benchmark_period_return
0.17530516276423436,-0.00463290362749047,0.005556803159740276,-3.5138818904733009,2008-01,0.0027232246507059386,21,0.069921947159115289,0.003060175951873662,-0.0060257803398192375,0.0013928767123287673,-2.2127371453754949,-0.0058343468969869134,-0.061163474897164227
0.12138958222070929,-0.0031614495897526185,0.004258035634209234,-2.2791579112898441,2008-02,0.0050896261988300833,20,0.057753466306335016,0.027731299735955759,-0.0048061071239991933,0.0016446575342465753,-0.94429471561269851,-0.003796526427849372,-0.034761162090602205
0.038265542090377934,0.010021662586797708,0.0028873392298968126,5.6203053667379237,2008-03,0.0083905069398529219,20,0.081675026269371231,0.082722302529398606,0.0089854982032360649,0.0010361643835616438,1.0709124332591962,0.0095642025392384984,-0.0059595830546430584
-0.12737580706166038,0.020746301296947989,0.00609307330035469,8.8855451643065724,2008-04,0.013903900066341915,22,0.054155449690903516,0.17831022733470417,0.01978465746133155,0.0009616438356164384,1.4229573980631212,0.011478068214548437,0.047546684811369921
0.0035839343619017954,0.011981459109777992,0.012745648930149844,3.3499843211697011,2008-05,0.014945811322337865,21,0.041426345838226269,0.20115608927139922,0.010299815274161553,0.0016816438356164385,0.68914393819273956,0.008490917247870074,0.01067415324879617
0.30425926214655347,-0.023341800066936647,0.02407496036851353,-5.1578877126526814,2008-06,0.020977907990147076,21,0.056638947261772418,0.23239550951185381,-0.024656868560087333,0.001315068493150685,-1.1753730911427487,-0.0043739810676682069,-0.08596238163926917
-0.022934569344257544,-0.013823383604235628,0.032650361099141545,-2.5854079923403397,2008-07,0.029510453298517918,22,0.068379100170124607,0.27969506235212727,-0.015139821960400012,0.0013164383561643834,-0.51303251113260162,-0.012014002146911815,-0.0098593750000002256
0.014043719457420424,0.016707517761133328,0.01542608374486576,4.0177886136060197,2008-08,0.023955268576670036,21,0.060088851242420055,0.27561840153504336,0.015323134199489493,0.0013843835616438355,0.63965612201119915,0.012344768766142374,0.0121905032429106
-0.031892352816867718,-0.094749942076444604,0.10822331838574395,-6.8827269813519356,2008-09,0.06570967032585194,21,0.15700189303030443,0.39622292380417168,-0.095588298240828165,0.0008383561643835617,-1.4547067085682999,-0.059282467238609228,-0.090791453271283129
0.14706389966208344,-0.017952674611261044,0.04877897456018676,-1.8815518047787618,2008-10,0.070023278206336276,23,0.24415206769085768,0.20540893452915934,-0.018054592419480223,0.00010191780821917807,-0.2578370062349708,0.016767655513194896,-0.16942453444905514
0.035795911183274944,-0.037917578130433949,0.08249390410450641,-4.0767649654199225,2008-11,0.057412880361222045,19,0.19512472899043079,0.26870415390919827,-0.037934016486598332,1.6438356164383563e-05,-0.66072310338604479,-0.017817353548188104,-0.074849032258064163
-0.071171486159711736,-0.022049675771976029,0.04296542387850666,-3.1501405257855781,2008-12,0.042880723062296851,22,0.14502176047016238,0.21229987160062266,-0.022143100429510277,9.342465753424659e-05,-0.51638822408243712,-0.023783783770359071,0.0078215656520574939
0.25596490038025593,0.007465482421854075,0.052197002742025544,1.2475018393414363,2009-01,0.042469004789366376,20,0.11060764368293019,0.31081337295326739,0.007338085161580102,0.0001273972602739726,0.17278684061410954,0.034001131328042868,-0.08565734846388029
0.36135512690760285,-0.0062916359049645099,0.05322812225634366,-0.87551833625515263,2009-02,0.040593774583788905,19,0.099121329424445584,0.35389005846930538,-0.0064143756309919071,0.00012273972602739726,-0.15801377666302269,0.032532628336545036,-0.10993122487528395
-0.06445495629410665,0.061078420997576099,0.029698482239042256,11.325540524529289,2009-03,0.052004991656910728,22,0.14467630462004333,0.30803314263076848,0.060934037435932266,0.0001443835616438356,1.1716959371501985,0.034671093274302879,0.085404508291501591
-0.066407836085136424,0.076419198113513165,0.011288680870288226,19.094339714409099,2009-04,0.036814459749751692,21,0.086550927175160858,0.32667328942584556,0.076386321401184398,3.287671232876713e-05,2.07489996920842,0.045714247967362176,0.093925075513555667
-0.065204102373590492,0.037056434078645006,0.043807678278572904,5.7010501438438315,2009-05,0.051741374246869629,20,0.080984050770946808,0.4386759385729917,0.036937529969055964,0.0001189041095890411,0.71388768672472391,0.013704145681626732,0.05308142665643123
0.12636432153525268,0.032238762106263419,0.0321486941345448,7.55656230915333,2009-06,0.035364992732036589,22,0.060313399066390425,0.31006983062293147,0.032099036078866161,0.00013972602739726025,0.90765001203543727,0.032081638305659105,0.00019583523728750052
-0.00091262121801016836,0.07495396501641105,0.030856691755280274,17.568603667296141,2009-07,0.041296645331222508,22,0.060778954792159598,0.4583277037613761,0.074835060906822015,0.0001189041095890411,1.81213414083886,0.040908336738248598,0.074141756950788951
-0.13129843131337068,0.021093784892288747,0.0316770065878087,3.140731268917285,2009-08,0.044151237670079925,21,0.047206727033277503,0.84388325350585813,0.0210003602347545,9.342465753424659e-05,0.47564601453938093,-0.0072416685534907217,0.033560173370600355
0.21651291524154653,0.065535293070937417,0.011298511577773618,17.635918670382086,2009-09,0.038723002703963845,21,0.044082405196557366,0.6775592777388213,0.065485978002444267,4.9315068493150684e-05,1.6911389466122382,0.041314681741429771,0.035723383825517541
0.12561422153220933,0.016951725821309882,0.053201617935414114,1.7980386171300859,2009-10,0.065954898824036642,22,0.063782067642679782,0.55272900766751776,0.01694323267062495,8.493150684931507e-06,0.25689119341731365,0.027870949908572883,-0.019761985847806973
-0.090240694540920832,0.047048363270682847,0.026422663549624748,8.0344386437058208,2009-11,0.048388598484462302,20,0.044011379134733054,0.95713942889102954,0.046982609846025314,6.575342465753425e-05,0.97094380324140916,-0.0078597982386311438,0.057363996950366758
0.10440311048929432,0.044310080722627099,0.029959147190109503,6.7537942345983373,2009-12,0.057913216271371054,22,0.031021219827522012,0.67383914397512434,0.044276108119887372,3.397260273972603e-05,0.76452511137384227,0.032324475821541521,0.017770597738288485
